xx;mark;mark_1;mark_2;mark_3;name;ada;no_seri;merk;type;thn_pengadaan;thn_operasional;berfungsi;kalibrasi;harga;pendanaan;distributor;akl_akd;keterangan
;102;;;20903054;Pen Light / Lampu Senter;Ya;20711;-unknown-;-unknown-;2011;2011;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;102;;;11402026;Kursi roda;Ya;1,90331E+15;MAK Wheel Chair;31303;2019;2022;Baik;Belum;2823300;APBD;PT. MEGA ANDALAN KALASAN;AKD. 11402900389;
;102;;;11402026;Kursi roda;Ya;7692152;HOSTECH;KY868LAJ-A;2020;2020;Baik;Belum;5250000;DAK;;;
;102;;;20502037;Electrocardiograph, Monitor;Ya;073P0B007819;BTL Electrocardiograph;BTL 08 MT Plus;2019;2022;Baik;Belum;62410000;DAK;PT. BOLD TECHNOLOGIES LEADING INDONESIA;AKL 20502113383;
;102;;;20502037;Electrocardiograph, Monitor;Ya;19239353;HEARTSCCREN;112C-1;2020;2020;Baik;Belum;59500000;DAK;;;
;***;;;Ruangan Klinik Sp. Kesehatan Anak;;;;;;;;;;;;;;
;103;;;20903054;Pen Light / Lampu Senter;Ya;20711;-unknown-;-unknown-;2001;2001;Baik;Belum;526000;APBD;;;
;103;;;20902047;Stetoskop anak;Ya;20711;Riester;-unknown-;2003;2003;Baik;Belum;220000;APBD;;;
;103;;;10901019;Timbangan anak;Ya;20711;Riester;BR90158;2015;2015;Baik;Belum;176000;APBD;;;
;103;;;10901020;Timbangan bayi;Ya;20711;-unknown-;-unknown-;2000;2000;Baik;Belum;92000;APBD;;;
;103;;;1801051;Tensimeter;Ya;17401497;MPM ERKA;STAND VARIO;2018;2022;Baik;Belum;5500000;DAK;PT.SIAGA MEDIKA ABADI KARYA;;
;103;;;10903022;Examination Table;Ya;20711;MAK Examination TABLE;34105;2018;2018;Baik;Belum;5784400;DAK;PT. MEGA ANDALAN KALASAN;AKD 19903900583;
;103;;;20403044;Nebulizer;Ya;20711;OMRON;-unknown-;2015;2015;Baik;Belum;1155000;APBD;;;
;103;;;20403089;Resusitator Anak;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;103;;;20902048;Stetoskop bayi;Ya;20711;-unknown-;-unknown-;2014;2014;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;103;;;20903055;Baby Suction Pump;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;103;;;20403083;Resusitator bayi/neonatus;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;103;;;10903117;Cool box immunization / Cold Chain (untuk penyimpan vaksin);Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;103;;;20901011;Termometer digital;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;103;;;10903013;Tongue depressor;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;103;;;10903021;Examination light / Examination lamp / Lampu periksa / Hanging lamp;Ya;20711;-unknown-;-unknown-;2011;2011;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;103;;;11402026;Kursi roda;Ya;7692088;HOSTECH;KY868LAJ-A;2020;2022;Baik;Belum;5250000;DAK;;;
;***;;;Ruangan Klinik Sp. Bedah;;;;;;;;;;;;;;
;104;;;11501050;X-Ray Film Viewer;Ya;20711;unkn;-unknown-;2008;2008;Baik;Belum;2000000;APBD;;;
;104;;;10903022;Examination Table;Ya;11;-unknown-;-unknown-;2000;2000;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;104;;;21603059;Hecting set;Ya;20711;AESCULAP;UNKNW;2015;2015;Baik;Belum;8635000;DAK;;;
;104;;;20501033;Stetoskop;Ya;20711;-unknown-;-unknown-;2000;2000;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;104;;;10903137;Operating headlamp;Ya;20711;RIESTER;-unknown-;2015;2015;Baik;Belum;6500000;APBD;;;
;104;;;1801051;Tensimeter;Ya;17401487;MPM ERKA;STAND VARIO;2018;2022;Baik;Belum;5500000;DAK;PT.SIAGA MEDIKA ABADI KARYA;;
;104;;;1801051;Tensimeter;Ya;20711;RIESTER;-unknown-;2014;2014;Baik;Belum;0;APBD;;;
;104;;;20903052;Aspirator/Vacuum/Suction pump portable;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;104;;;11303015;Alat pembuka gips;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;104;;;20901011;Termometer digital;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;104;;;21603058;Minor Surgery Set;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;104;;;21401005;Reflex hammer/Palu pengukur reflex;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;104;;;10903021;Examination light / Examination lamp / Lampu periksa / Hanging lamp;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;104;;;11402026;Kursi roda;Ya;7692095;HOSTECH;KY868LAJ-A;2020;2022;Baik;Belum;5250000;DAK;;;
;***;;;Ruangan Klinik Sp. Kebidanan dan Kandungan;;;;;;;;;;;;;;
;105;;;10903021;Examination light / Examination lamp / Lampu periksa / Hanging lamp;Ya;20711;UNKN;UNKNW;2008;2008;Baik;Belum;2100000;APBD;;;
;105;;;20902046;Syringe Pump;Ya;3;Terumo terefusion syringe pump;-unknown-;2017;2017;Baik;Belum;17019200;APBD;;;
;105;;;21102020;USG 4D;Ya;1;GE;Vivid P3;2017;2017;Baik;Belum;2283997000;APBD;PT. GE OPERATIONS INDONESIA;AKL 21501111191;
;105;;;20501033;Stetoskop;Ya;53100025;MPM ERKA;DOUBLE MEMBRAN;2018;2018;Baik;Belum;1100000;DAK;PT.SIAGA MEDIKA ABADI KARYA;;
;105;;;20501033;Stetoskop;Ya;53100025;MPM ERKA;DOUBLE MEMBRAN;2018;2018;Baik;Belum;1100000;DAK;PT.SIAGA MEDIKA ABADI KARYA;;
;105;;;1801051;Tensimeter;Ya;17401424;MPM ERKA;STAND VARIO;2018;2022;Baik;Belum;5500000;DAK;PT.SIAGA MEDIKA ABADI KARYA;;
;105;;;1801051;Tensimeter;Ya;17401495;MPM ERKA;STAND VARIO;2018;2022;Baik;Belum;5500000;DAK;PT.SIAGA MEDIKA ABADI KARYA;;
;105;;;20903042;Wheeled stretcher;Ya;1,80431E+15;MAK Transferring Patient;31209TH / 2050 x 705 x 610 - 900 mm;2018;2022;Baik;Belum;23257875;DAK;PT. MEGA ANDALAN KALASAN;AKD 20903110410;
;105;;;10903141;Utility Trolley;Ya;1,80435E+15;MAK INSTRUMENT;35101;2018;2022;Baik;Belum;4859300;DAK;;;
;105;;;10903141;Utility Trolley;Ya;1,80435E+14;MAK INSTRUMENT;35101;2018;2022;Baik;Belum;4859300;DAK;;;
;105;;;10903172;Lemari Peralatan;Ya;20711;MAK INSTRUMENT;32901;2018;2018;Baik;Belum;5688485;DAK;;;INSTRUMENT CABINET
;105;;;10901006;"Timbangan dewasa; ";Ya;20711;ONE MED;bb + tb;2014;2014;Baik;Belum;1435562;APBD;;;
;105;;;21701014;Tromol Kasa / Kain Steril;Ya;20711;#NAME?;-unknown-;2011;2011;Baik;Belum;2487500;APBD;;;
;105;;;10903095;Nierbeken ;Ya;20711;unkn;unknw;2003;2003;Baik;Belum;0;APBD;;;belum diketahui tahunnya nierbekken besar
;105;;;10903095;Nierbeken ;Ya;20711;unkn;unkn;2013;2013;Baik;Belum;0;APBD;;;tidak diketahui tahunnya nierbekken besar
;105;;;11402026;Kursi roda;Ya;20711;unkn;unknw;2008;2008;Baik;Belum;2972000;APBD;;;
;105;;;11402026;Kursi roda;Ya;2,10331E+15;MAK Wheel Chair;31313;2021;2021;Baik;Belum;5133300;DAK;;;
;105;;;20903056;Tiang infus;Ya;20711;MAK;36102;2017;2017;Baik;Belum;1500000;DAK;;;
;105;;;10903098;Bak instrumen;Ya;20711;UNKN;UNKNW;2011;2011;Baik;Belum;15900000;APBD;;;
;105;;;21102021;USG Transvaginal;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;105;;;21101019;Office histeroscopy;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;105;;;21106012;Implant Kit;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;105;;;21101012;Colposcope;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;105;;;21101026;Pap smear kit;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;105;;;21104025;Tampon tang;Ya;20711;unkn;unkn;2011;2011;Baik;Belum;0;APBD;;;tidak diketahui tahunnya
;105;;;31105014;Contraceptive intrauterine device (IUD) and introducer;Ya;20711;unkn;unkn;2014;2014;Baik;Belum;0;APBD;;;tidak diketahui tahunnya
;105;;;11104011;Obstetric-gynecologic general manual instrument;Ya;20711;UNKN;-unknown-;2009;2009;Baik;Belum;28977500;APBD;;;GYNECOLOGIC CHAIR MANUAL
;105;;;21104014;Obstetric table and accessories;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;105;;;21101027;Sonde Uterus (Uterine Sound);Ya;20711;UNKN;-unknown-;2000;2000;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;105;;;21101027;Sonde Uterus (Uterine Sound);Ya;20711;unkn;unkn;2000;2000;Baik;Belum;0;APBD;;;tidak diketahui tahunnya
;105;;;20903037p;Sterilisator Portable;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;105;;;21102025;USG 2D;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;105;;;21102019;USG 3D;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;105;;;20502039;Cardiotocograph/CTG;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;105;;;21104012;Forcep Biopsi;Ya;20711;unkn;unkn;2011;2011;Baik;Belum;0;APBD;;;tidak diketahui tahunnya(biopsi tang) 
;105;;;21603058;Minor Surgery Set;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;105;;;20903052;Aspirator/Vacuum/Suction pump portable;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;105;;;10903096;Lemari obat kaca;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;105;;;10903097;Bak instrument kaca;Ya;20711;unkn;unkn;2011;2011;Baik;Belum;0;APBD;;;tidak diketahui tahunnya (bak instrumen besar))
;105;;;10903097;Bak instrument kaca;Ya;20711;unkn;unkn;2011;2011;Baik;Belum;0;APBD;;;tidak diketahui tahunnya (bak instrumen sedang)
;105;;;10903097;Bak instrument kaca;Ya;20711;unkn;unkn;2011;2011;Baik;Belum;0;APBD;;;tidak diketahui tahunnya (bak instrumen kecil)
;105;;;20502037;Electrocardiograph, Monitor;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;105;;;21102006;Fetal ultrasonic monitor and accessories;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;***;;;Ruangan Klinik Sp. Mata & Sub Spesialistik;;;;;;;;;;;;;;
;106;;;11201072;Lembar kartu tes baca;Ya;20711;-unknown-;-unknown-;2013;2013;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;106;;;11201083;Snellen test Projector;Ya;20711;-unknown-;-unknown-;2013;2013;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;106;;;11201005;Buku Ishihara-kanehara;Ya;20711;-unknown-;-unknown-;2013;2013;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;106;;;21201071;Streak retinoskopi;Ya;20711;-unknown-;-unknown-;2011;2011;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;106;;;11201073;Bingkai ujicoba trial lens (trial frame) ;Ya;20711;-unknown-;-unknown-;2011;2011;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;106;;;11201028;Ophthalmic trial lens set;Ya;20711;-unknown-;-unknown-;2014;2014;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;106;;;11402026;Kursi roda;Ya;31033;MAK;-unknown-;2017;2017;Baik;Belum;3282353;APBD;;;
;106;;;11402026;Kursi roda;Ya;1,90331E+15;MAK Wheel Chair;31303;2019;2019;Baik;Belum;2823300;APBD;PT. MEGA ANDALAN KALASAN;AKD. 11402900389;
;106;;;11402026;Kursi roda;Ya;7692081.A;HOSTECH;KY868LAJ-A;2020;2020;Baik;Belum;5250000;DAK;;;
;106;;;1801051;Tensimeter;Ya;17400366;MPM ERKA;STAND VARIO;2018;2022;Baik;Belum;5500000;DAK;PT.SIAGA MEDIKA ABADI KARYA;;
;106;;;21201068;Tonometer non-kontak;Ya;310506;CANON;TX 20P;2018;2022;Baik;Belum;209085000;DAK;PT.BERJAYA MANDARIN OPTO-MEDIC;;
;106;;;21201006;Autorefraktometer;Ya;310367;CANON;RK-F2;2018;2022;Baik;Belum;185927000;DAK;PT.BERJAYA MANDARIN OPTO-MEDIC;;AUTOREF KERATOMETER
;106;;;21201069;Opthalmoscope direk;Ya;74126;KEELER;KL 1205;2018;2022;Baik;Belum;55385000;DAK;PT.TIMUR RAYA LESTARI;;
;106;;;11201074;Slit Lamp;Ya;5000-8221;CARL ZEISS;SL 130;2018;2022;Baik;Belum;620990500;DAK;PT.ELO KARSA UTAMA;;
;106;;;21201078;OCT (Optical Coherent Tomography);Ya;1186886;Carl Zeiss;HD-OCT5000;2018;2022;Baik;Belum;1833000000;DAK;;;
;106;;;11201069;Lensmeter / Lensometer;Ya;71.M00P18E0051;HUVITZ Digital Lensmeter;HLM-7000;2018;2022;Baik;Belum;33918500;DAK;PT. BERJAYA MANDARIN OPTO-MEDIC;AKL 21201410089;
;106;;;21201074;Biometer A-scan;Ya;765812;TOMEY BIOMETER;AL-100;2018;2022;Baik;Belum;62022000;DAK;PT. PANCARAYA KRISNAMANDIRI;AKL 11201500719;
;106;;;10903022;Examination Table;Ya;1,80334E+15;MAK Examination TABLE;34105;2018;2022;Baik;Belum;5784400;DAK;PT. MEGA ANDALAN KALASAN;AKD 19903900583;
;106;;;10903022;Examination Table;Ya;1,80334E+15;MAK Examination TABLE;34105;2018;2022;Baik;Belum;5784400;DAK;PT. MEGA ANDALAN KALASAN;AKD 19903900583;
;106;;;10903141;Utility Trolley;Ya;1,80435E+15;MAK INSTRUMENT;35101;2018;2022;Baik;Belum;4859300;DAK;;;
;106;;;21201075;USG Mata;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21201008;Refrakto keratometer;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21201066;Tonometer Schiotz;Ya;20711;-unknown-;-unknown-;2013;2013;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;106;;;11201077;Contrast Sensitivity Test;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;11201079;Worth Four Dot Test;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21201083;Visual Evoked Potential (VEP);Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21203042;Lasik Set;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21203040;Laser Fotocoagulasi Glaukoma Set;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21201084;Synophtofore;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21201085;Strabismus diagnostik set;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21201082;Elektroretinogram (ERG);Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21203039;Laser Fotocoagulasi Retina Set;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;11203002;Basic opthalmic instrument;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21201079;Pachymetri;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;20603018;Anasthesi local set;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21201086;Hertel Oftalmometer;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21201067;Tonometer aplanasi;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21201081;Trial Lens Contact (Fitting);Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;11201076;Portable Keratometer;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21201072;Kampimeter Goldman;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21201077;Fundus camera + FFA;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;11201071;Lensa Gonioskopi dengan 3 cermin;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;11201078;Pelli Robson Test;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;11201038;Lembar optotip snellen dengan clock dial;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21201080;Topografi kornea;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;11201012;Set dilator punktum;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21201087;Spekular mikroskop;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;21201073;Kampimeter automatic;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;11201021;Lup binokuler;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;11201070;Lensa gonometri dengan 3 cermin;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;20903054;Pen Light / Lampu Senter;Ya;20711;-unknown-;-unknown-;2011;2011;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;106;;;21201076;Retinometer;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;106;;;11201020;Lup/Kaca Pembesar;Ya;20711;-unknown-;-unknown-;2001;2001;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;106;;;21201070;Opthalmoscope indirek;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;***;;;Ruangan Klinik Sp. THT dan THT;;;;;;;;;;;;;;
;107;;;20701026;Tymphanometer;Ya;TSM 500 1809;OSLIYLA;-unknown-;2018;2022;Baik;Belum;0;DAK;;;
;107;;;10701015;Spekulum hidung;Ya;20711;-unknown-;-unknown-;2011;2011;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;107;;;20701033;Spekulum telinga;Ya;20711;-unknown-;-unknown-;2011;2011;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;107;;;11001018;Tuning fork;Ya;20711;-unknown-;-unknown-;2013;2013;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;107;;;20701022;Hak serumen;Ya;20711;-unknown-;-unknown-;2011;2011;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;107;;;10701020;Kaca Laring;Ya;20711;-unknown-;-unknown-;2013;2013;Baik;Belum;0;APBD;;;belum diketahui tahunnya
;107;;;20701001;Audiometer;Ya;1;Riestar;-unknown-;2015;2015;Baik;Belum;308000000;APBD;;;Audiometri
;107;;;10903137;Operating headlamp;Ya;1;Riester;-unknown-;2015;2015;Baik;Belum;6500000;APBD;;;
;107;;;10903137;Operating headlamp;Ya;ECJC1384;GEA MEDICAL;BT 410;2019;2019;Baik;Belum;1100000;DAK;;;
;107;;;10903137;Operating headlamp;Ya;LOT A74379;RIESTER;6090;2020;2021;Baik;Belum;7450000;DAK;;;
;107;;;10903137;Operating headlamp;Ya;LT.522260;RIESTER;6090;2020;2022;Baik;Belum;7450000;DAK;;;
;107;;;11402026;Kursi roda;Ya;31033;MAK;-unknown-;2017;2017;Baik;Belum;3282353;APBD;;;
;107;;;1801051;Tensimeter;Ya;17400338;MPM ERKA;STAND VARIO;2018;2022;Baik;Belum;5500000;DAK;PT.SIAGA MEDIKA ABADI KARYA;;
;107;;;10903022;Examination Table;Ya;20711;MAK Examination TABLE;34105;2018;2018;Baik;Belum;5784400;DAK;PT. MEGA ANDALAN KALASAN;AKD 19903900583;
;107;;;10903022;Examination Table;Ya;20711;MAK Examination TABLE;34105;2018;2018;Baik;Belum;5784400;DAK;PT. MEGA ANDALAN KALASAN;AKD 19903900583;
;107;;;10903141;Utility Trolley;Ya;1,80435E+15;MAK INSTRUMENT;35101;2018;2022;Baik;Belum;4859300;DAK;;;
;107;;;20703013;Nasopharyngoscope (flexible or rigid) and accessories.;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;10903013;Tongue depressor;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;10701016;Set irigasi serumen;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;20701029;Nasopharyngoscope (flexible or rigid) and accessories.;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;20703012;Trocar anthrum;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;20701027;Rinomanometer;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;20701024;Wattendrager (pembawa kapas);Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;10701014;Tang untuk mengambil benda asing;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;10704008;ABR/BERA (Brain Evoke Respon Audiometer);Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;10704002;THT Unit/Ent Diagnostik unit/ENT Examination set/ENT treatment;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;10701017;Set irigasi sinus;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;20701028;Sinuskop;Ya;20711;-unknown-;-unknown-;2019;2019;Baik;Belum;26945000;BLU;;;sinoscope 3mm 70 175 mm
;107;;;20701028;Sinuskop;Ya;20711;-unknown-;-unknown-;2019;2019;Baik;Belum;26945000;BLU;;;sinuscope 3 mm 30 175 mm
;107;;;20701023;Luc serumen;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;20701031;Rhinuscope;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;10701021;Cermin Risnoskopi Posterior;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;20701030;Diafanoskop;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;10704009;Sound proof box;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;10703014;Otoscope;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;10701019;Parasintesis set;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;11201068;Lensa frenzel;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;10701018;Wondspuit;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;107;;;21603058;Minor Surgery Set;Tidak;0;-unknown-;-unknown-;;;Rusak;Belum;0;;-;;-
;***;;;Ruangan Klinik dr. Gigi umum, Gigi Spesialis dan Gigi Sub Spesialis ;;;;;;;;;;;;;;
;108;;;10605030;Periodontal Probe;Ya;20711;-unknown-;-unknown-;2011;2011;Baik;Belum;0;APBD;;;tidak diketahui tahunnya
;108;;;10603023;Alat endodontic dasar;Ya;20711;-unknown-;-unknown-;2011;2011;Baik;Belum;0;APBD;;;tidak diketahui tahunnya
;108;;;11501050;X-Ray Film Viewer;Ya;20711;UNKN;-unknown-;2008;2008;Baik;Belum;2000000;APBD;;;
;108;;;11501050;X-Ray Film Viewer;Ya;2,11382E+13;Karixa;KA-27-02A;2021;2022;Baik;Belum;3050333;DAK;;;
;108;;;10605036;Oral Hygiene Set;Ya;20711;-unknown-;-unknown-;2011;2011;Baik;Belum;0;APBD;;;tidak diketahui tahunnya
;108;;;1801051;Tensimeter;Ya;141178191;RIESTER;NOVA;2015;2015;Baik;Belum;0;APBD;;;
;108;;;10602073;Cheek Retractor;Ya;0;;;;;Baik;Belum;0;APBN;;;
;108;;;10605031;Bite fork;Ya;20711;-unknown-;-unknown-;2013;2013;Baik;Belum;0;APBD;;;tidak diketahui tahunnya
;108;;;10603028;Stone bur;Ya;20711;-unknown-;-unknown-;2013;2013;Baik;Belum;0;APBD;;;tidak diketahui tahunnya
